DSID,gq_scaled,gqd_scaled,mass,width,branching_ratio,cross_section
100333,0.001,0.07,1000,1.301e-01,0.9964362,0.2975
100334,0.001,0.07,1200,1.563e-01,0.9964074,0.13799999999999998
100335,0.001,0.07,1500,1.955e-01,0.9963835,0.050589999999999996
100336,0.001,0.07,1800,2.346e-01,0.9963703,0.02098
100337,0.001,0.07,2200,2.869e-01,0.9963603,0.007355
100338,0.001,0.07,2600,3.391e-01,0.9963546,0.002836
100339,0.001,0.07,3000,3.913e-01,0.9963510,0.001165
100340,0.001,0.07,3500,4.565e-01,0.9963481,0.0004052
100341,0.001,0.075,600,0.08919,0.9970292,2.1670000000000003
100342,0.001,0.075,800,0.11928,0.9969389,0.7293999999999999
100343,0.001,0.075,1000,1.493e-01,0.9968941,0.29760000000000003
100344,0.001,0.075,1200,1.793e-01,0.9968690,0.1381
100345,0.001,0.075,1500,2.243e-01,0.9968481,0.05061
100346,0.001,0.075,1800,2.692e-01,0.9968367,0.02099
100347,0.001,0.075,2200,3.291e-01,0.9968280,0.007358
100348,0.001,0.075,2600,3.890e-01,0.9968229,0.002838
100349,0.001,0.075,3000,4.489e-01,0.9968198,0.001165
100350,0.001,0.075,3500,5.238e-01,0.9968173,0.00040540000000000004
100351,0.001,0.08,600,0.10145,0.9973880,2.1679999999999997
100352,0.001,0.08,800,0.13567,0.9973085,0.7295999999999999
100353,0.001,0.08,1000,1.698e-01,0.9972692,0.29779999999999995
100354,0.001,0.08,1200,2.039e-01,0.9972471,0.1381
100355,0.001,0.08,1500,2.551e-01,0.9972288,0.050629999999999994
100356,0.001,0.08,1800,3.062e-01,0.9972187,0.020999999999999998
100357,0.001,0.08,2200,3.743e-01,0.9972110,0.0073609999999999995
100358,0.001,0.08,2600,4.425e-01,0.9972066,0.002838
100359,0.001,0.08,3000,5.106e-01,0.9972038,0.001166
100360,0.001,0.08,3500,5.957e-01,0.9972016,0.0004056
100361,0.001,0.085,600,0.11449,0.9976856,2.169
100362,0.001,0.085,800,0.15311,0.9976151,0.7298
100363,0.001,0.085,1000,1.917e-01,0.9975802,0.29779999999999995
100364,0.001,0.085,1200,2.302e-01,0.9975607,0.1381
100365,0.001,0.085,1500,2.879e-01,0.9975444,0.050640000000000004
100366,0.001,0.085,1800,3.456e-01,0.9975355,0.020999999999999998
100367,0.001,0.085,2200,4.225e-01,0.9975287,0.007363000000000001
100368,0.001,0.085,2600,4.993e-01,0.9975248,0.002839
100369,0.001,0.085,3000,5.762e-01,0.9975223,0.001166
100370,0.001,0.085,3500,6.723e-01,0.9975203,0.0004058
100371,0.001,0.09,600,0.12832,0.9979351,2.169
100372,0.001,0.09,800,0.17161,0.9978722,0.73
100373,0.001,0.09,1000,2.148e-01,0.9978411,0.2979
100374,0.001,0.09,1200,2.580e-01,0.9978236,0.13820000000000002
100375,0.001,0.09,1500,3.227e-01,0.9978091,0.05065
100376,0.001,0.09,1800,3.873e-01,0.9978011,0.02101
100377,0.001,0.09,2200,4.735e-01,0.9977951,0.007365
100378,0.001,0.09,2600,5.597e-01,0.9977916,0.00284
100379,0.001,0.09,3000,6.458e-01,0.9977894,0.001167
100380,0.001,0.09,3500,7.535e-01,0.9977876,0.0004059
100381,0.001,0.095,600,0.14295,0.9981463,2.169
100382,0.001,0.095,800,0.19116,0.9980899,0.7302
100383,0.001,0.095,1000,2.393e-01,0.9980619,0.298
100384,0.001,0.095,1200,2.874e-01,0.9980463,0.13820000000000002
100385,0.001,0.095,1500,3.594e-01,0.9980332,0.05067
100386,0.001,0.095,1800,4.314e-01,0.9980260,0.02102
100387,0.001,0.095,2200,5.275e-01,0.9980206,0.007367
100388,0.001,0.095,2600,6.234e-01,0.9980175,0.00284
100389,0.001,0.095,3000,7.194e-01,0.9980155,0.001167
100390,0.001,0.095,3500,8.394e-01,0.9980139,0.0004067
100391,0.001,0.1,600,0.15836,0.9983268,2.17
100392,0.001,0.1,800,0.21178,0.9982758,0.7303000000000001
100393,0.001,0.1,1000,2.651e-01,0.9982505,0.298
100394,0.001,0.1,1200,3.183e-01,0.9982364,0.13820000000000002
100395,0.001,0.1,1500,3.982e-01,0.9982246,0.05069
100396,0.001,0.1,1800,4.780e-01,0.9982182,0.02102
100397,0.001,0.1,2200,5.843e-01,0.9982133,0.007368
100398,0.001,0.1,2600,6.907e-01,0.9982104,0.002841
100399,0.001,0.1,3000,7.970e-01,0.9982086,0.001167
100400,0.001,0.1,3500,9.299e-01,0.9982072,0.0004067
100401,0.0015,0.005,600,0.00099,0.3986533,1.95
100402,0.0015,0.005,800,0.00135,0.3914719,0.6445000000000001
100403,0.0015,0.005,1000,1.705e-03,0.3880075,0.2612
100404,0.0015,0.005,1200,2.058e-03,0.3860951,0.12030000000000002
100405,0.0015,0.005,1500,2.584e-03,0.3845158,0.04393
100406,0.0015,0.005,1800,3.109e-03,0.3836528,0.018189999999999998
100407,0.0015,0.005,2200,3.807e-03,0.3830024,0.006363
100408,0.0015,0.005,2600,4.505e-03,0.3826273,0.002451
100409,0.0015,0.005,3000,5.201e-03,0.3823918,0.001006
100410,0.0015,0.005,3500,6.072e-03,0.3822030,0.0003497
100411,0.0015,0.01,600,0.00218,0.7261576,3.552
100412,0.0015,0.01,800,0.00294,0.7201418,1.186
100413,0.0015,0.01,1000,3.690e-03,0.7171969,0.48269999999999996
100414,0.0015,0.01,1200,4.441e-03,0.7155589,0.223
100415,0.0015,0.01,1500,5.565e-03,0.7141998,0.0816
100416,0.0015,0.01,1800,6.687e-03,0.7134547,0.03382
100417,0.0015,0.01,2200,8.182e-03,0.7128917,0.01184
100418,0.0015,0.01,2600,9.675e-03,0.7125668,0.004564
100419,0.0015,0.01,3000,1.117e-02,0.7123624,0.001874
